country,capital,region,subregion,population,area_km2,population_density
India,New Delhi,Asia,Southern Asia,1417492000,3287263.0,431.21
China,Beijing,Asia,Eastern Asia,1408280000,9706961.0,145.08
United States,Washington D.C.,Americas,Northern America,340110988,9525067.0,35.71
Indonesia,Jakarta,Asia,South-Eastern Asia,284438782,1904569.0,149.35
Pakistan,Islamabad,Asia,Southern Asia,241499431,796095.0,303.36
Nigeria,Abuja,Africa,Western Africa,223800000,923768.0,242.27
Brazil,Brasília,Americas,South America,213421037,8515767.0,25.06
Bangladesh,Dhaka,Asia,Southern Asia,169828911,147570.0,1150.84
Russia,Moscow,Europe,Eastern Europe,146028325,17098246.0,8.54
Mexico,Mexico City,Americas,Central America,130575786,1964375.0,66.47
